CustomerID,CustomerName,CustomerType,Region
CUST001,Customer 1,Corporate,North
CUST002,Customer 2,SMB,South
CUST003,Customer 3,Retail,East
CUST004,Customer 4,Corporate,West
CUST005,Customer 5,SMB,North
CUST006,Customer 6,Retail,South
CUST007,Customer 7,Corporate,East
CUST008,Customer 8,SMB,West
CUST009,Customer 9,Retail,North
CUST010,Customer 10,Corporate,South
CUST011,Customer 11,SMB,East
CUST012,Customer 12,Retail,West
CUST013,Customer 13,Corporate,North
CUST014,Customer 14,SMB,South
CUST015,Customer 15,Retail,East
CUST016,Customer 16,Corporate,West
CUST017,Customer 17,SMB,North
CUST018,Customer 18,Retail,South
CUST019,Customer 19,Corporate,East
CUST020,Customer 20,SMB,West
CUST021,Customer 21,Retail,North
CUST022,Customer 22,Corporate,South
CUST023,Customer 23,SMB,East
CUST024,Customer 24,Retail,West
CUST025,Customer 25,Corporate,North
CUST026,Customer 26,SMB,South
CUST027,Customer 27,Retail,East
CUST028,Customer 28,Corporate,West
CUST029,Customer 29,SMB,North
CUST030,Customer 30,Retail,South
CUST031,Customer 31,Corporate,East
CUST032,Customer 32,SMB,West
CUST033,Customer 33,Retail,North
CUST034,Customer 34,Corporate,South
CUST035,Customer 35,SMB,East
CUST036,Customer 36,Retail,West
CUST037,Customer 37,Corporate,North
CUST038,Customer 38,SMB,South
CUST039,Customer 39,Retail,East
CUST040,Customer 40,Corporate,West
CUST041,Customer 41,SMB,North
CUST042,Customer 42,Retail,South
CUST043,Customer 43,Corporate,East
CUST044,Customer 44,SMB,West
CUST045,Customer 45,Retail,North
CUST046,Customer 46,Corporate,South
CUST047,Customer 47,SMB,East
CUST048,Customer 48,Retail,West
CUST049,Customer 49,Corporate,North
CUST050,Customer 50,SMB,South
CUST051,Customer 51,Retail,East
CUST052,Customer 52,Corporate,West
CUST053,Customer 53,SMB,North
CUST054,Customer 54,Retail,South
CUST055,Customer 55,Corporate,East
CUST056,Customer 56,SMB,West
CUST057,Customer 57,Retail,North
CUST058,Customer 58,Corporate,South
CUST059,Customer 59,SMB,East
CUST060,Customer 60,Retail,West
