Date,Year,MonthNumber,MonthName,Quarter,DayName,WeekNumber,FinancialYear,FinancialMonthNumber
2025-01-01,2025,1,January,Q1,Wednesday,1,FY2024-25,10
2025-01-02,2025,1,January,Q1,Thursday,1,FY2024-25,10
2025-01-03,2025,1,January,Q1,Friday,1,FY2024-25,10
2025-01-04,2025,1,January,Q1,Saturday,1,FY2024-25,10
2025-01-05,2025,1,January,Q1,Sunday,1,FY2024-25,10
2025-01-06,2025,1,January,Q1,Monday,2,FY2024-25,10
2025-01-07,2025,1,January,Q1,Tuesday,2,FY2024-25,10
2025-01-08,2025,1,January,Q1,Wednesday,2,FY2024-25,10
2025-01-09,2025,1,January,Q1,Thursday,2,FY2024-25,10
2025-01-10,2025,1,January,Q1,Friday,2,FY2024-25,10
2025-01-11,2025,1,January,Q1,Saturday,2,FY2024-25,10
2025-01-12,2025,1,January,Q1,Sunday,2,FY2024-25,10
2025-01-13,2025,1,January,Q1,Monday,3,FY2024-25,10
2025-01-14,2025,1,January,Q1,Tuesday,3,FY2024-25,10
2025-01-15,2025,1,January,Q1,Wednesday,3,FY2024-25,10
2025-01-16,2025,1,January,Q1,Thursday,3,FY2024-25,10
2025-01-17,2025,1,January,Q1,Friday,3,FY2024-25,10
2025-01-18,2025,1,January,Q1,Saturday,3,FY2024-25,10
2025-01-19,2025,1,January,Q1,Sunday,3,FY2024-25,10
2025-01-20,2025,1,January,Q1,Monday,4,FY2024-25,10
2025-01-21,2025,1,January,Q1,Tuesday,4,FY2024-25,10
2025-01-22,2025,1,January,Q1,Wednesday,4,FY2024-25,10
2025-01-23,2025,1,January,Q1,Thursday,4,FY2024-25,10
2025-01-24,2025,1,January,Q1,Friday,4,FY2024-25,10
2025-01-25,2025,1,January,Q1,Saturday,4,FY2024-25,10
2025-01-26,2025,1,January,Q1,Sunday,4,FY2024-25,10
2025-01-27,2025,1,January,Q1,Monday,5,FY2024-25,10
2025-01-28,2025,1,January,Q1,Tuesday,5,FY2024-25,10
2025-01-29,2025,1,January,Q1,Wednesday,5,FY2024-25,10
2025-01-30,2025,1,January,Q1,Thursday,5,FY2024-25,10
2025-01-31,2025,1,January,Q1,Friday,5,FY2024-25,10
2025-02-01,2025,2,February,Q1,Saturday,5,FY2024-25,11
2025-02-02,2025,2,February,Q1,Sunday,5,FY2024-25,11
2025-02-03,2025,2,February,Q1,Monday,6,FY2024-25,11
2025-02-04,2025,2,February,Q1,Tuesday,6,FY2024-25,11
2025-02-05,2025,2,February,Q1,Wednesday,6,FY2024-25,11
2025-02-06,2025,2,February,Q1,Thursday,6,FY2024-25,11
2025-02-07,2025,2,February,Q1,Friday,6,FY2024-25,11
