OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount
ORD0001,2026-01-01,C001,P001,4,0.05
ORD0002,2026-01-01,C002,P002,7,0.1
ORD0003,2026-01-02,C003,P003,1,0.15
ORD0004,2026-01-02,C004,P004,4,0.0
ORD0005,2026-01-03,C005,P005,7,0.05
ORD0006,2026-01-03,C006,P006,0,0.1
ORD0007,2026-01-04,C007,P001,4,0.15
ORD0008,2026-01-04,C008,P002,7,0.0
ORD0009,2026-01-05,C009,P003,1,0.05
ORD0010,2026-01-05,C010,P004,4,0.1
ORD0011,2026-01-06,C001,P005,7,0.15
ORD0012,2026-01-06,C002,P006,1,0.0
ORD0013,2026-01-07,C003,P001,4,0.05
ORD0014,2026-01-07,C004,P002,7,0.1
ORD0015,2026-01-08,C005,P003,1,0.15
ORD0016,2026-01-08,C006,P004,4,0.0
ORD0017,2026-01-09,C007,P005,7,0.05
ORD0018,2026-01-09,C008,P006,0,0.1
ORD0019,2026-01-10,C009,P001,4,0.15
ORD0020,2026-01-10,C010,P002,7,0.0
ORD0021,2026-01-11,C001,P003,1,0.05
ORD0022,2026-01-11,C002,P004,4,0.1
ORD0023,2026-01-12,C003,P005,7,0.15
ORD0024,2026-01-12,C004,P006,1,0.0
ORD0025,2026-01-13,C005,P001,4,0.05
ORD0026,2026-01-13,C006,P002,7,0.1
ORD0027,2026-01-14,C007,P003,1,0.15
ORD0028,2026-01-14,C008,P004,4,0.0
ORD0029,2026-01-15,C009,P005,7,0.05
ORD0030,2026-01-15,C010,P006,1,0.1
ORD0031,2026-01-16,C001,P001,4,0.15
ORD0032,2026-01-16,C002,P002,7,0.0
ORD0033,2026-01-17,C003,P003,1,0.05
ORD0034,2026-01-17,C004,P004,4,0.1
ORD0035,2026-01-18,C005,P005,7,0.15
ORD0036,2026-01-18,C006,P006,1,0.0
ORD0037,2026-01-19,C007,P001,4,0.05
ORD0038,2026-01-19,C008,P002,7,0.1
ORD0039,2026-01-20,C009,P003,1,0.15
ORD0040,2026-01-20,C010,P004,4,0.0
ORD0041,2026-01-21,C001,P005,7,0.05
ORD0042,2026-01-21,C002,P006,1,0.1
ORD0043,2026-01-22,C003,P001,4,0.15
ORD0044,2026-01-22,C004,P002,7,0.0
ORD0045,2026-01-23,C005,P003,1,0.05
ORD0046,2026-01-23,C006,P004,4,0.1
ORD0047,2026-01-24,C007,P005,7,0.15
ORD0048,2026-01-24,C008,P006,1,0.0
ORD0049,2026-01-25,C009,P001,4,0.05
ORD0050,2026-01-25,C010,P002,7,0.1
ORD0051,2026-01-26,C001,P003,1,0.15
ORD0052,2026-01-26,C002,P004,4,0.0
ORD0053,2026-01-27,C003,P005,7,0.05
ORD0054,2026-01-27,C004,P006,1,0.1
ORD0055,2026-01-28,C005,P001,4,0.15
ORD0056,2026-01-28,C006,P002,7,0.0
ORD0057,2026-01-29,C007,P003,1,0.05
ORD0058,2026-01-29,C008,P004,4,0.1
ORD0059,2026-01-30,C009,P005,7,0.15
ORD0060,2026-01-30,C010,P006,1,0.0
ORD0061,2026-01-31,C001,P001,4,0.05
ORD0062,2026-01-31,C002,P002,7,0.1
ORD0063,2026-02-01,C003,P003,1,0.15
ORD0064,2026-02-01,C004,P004,4,0.0
ORD0065,2026-02-02,C005,P005,7,0.05
ORD0066,2026-02-02,C006,P006,1,0.1
ORD0067,2026-02-03,C007,P001,4,0.15
ORD0068,2026-02-03,C008,P002,7,0.0
ORD0069,2026-02-04,C009,P003,1,0.05
ORD0070,2026-02-04,C010,P004,4,0.1
ORD0071,2026-02-05,C001,P005,7,0.15
ORD0072,2026-02-05,C002,P006,1,0.0
ORD0073,2026-02-06,C003,P001,4,0.05
ORD0074,2026-02-06,C004,P002,7,0.1
ORD0075,2026-02-07,C005,P003,1,0.15
ORD0076,2026-02-07,C006,P004,4,0.0
ORD0077,2026-02-08,C007,P005,7,0.05
ORD0078,2026-02-08,C008,P006,1,0.1
ORD0079,2026-02-09,C009,P001,4,0.15
ORD0080,2026-02-09,C010,P002,7,0.0
ORD0081,2026-02-10,C001,P003,1,0.05
ORD0082,2026-02-10,C002,P004,4,0.1
ORD0083,2026-02-11,C003,P005,7,0.15
ORD0084,2026-02-11,C004,P006,1,0.0
ORD0085,2026-02-12,C005,P001,4,0.05
ORD0086,2026-02-12,C006,P002,7,0.1
ORD0087,2026-02-13,C007,P003,1,0.15
ORD0088,2026-02-13,C008,P004,4,0.0
ORD0089,2026-02-14,C009,P005,7,0.05
ORD0090,2026-02-14,C010,P006,1,0.1
ORD0091,2026-02-15,C001,P001,4,0.15
ORD0092,2026-02-15,C002,P002,7,0.0
ORD0093,2026-02-16,C003,P003,1,0.05
ORD0094,2026-02-16,C004,P004,4,0.1
ORD0095,2026-02-17,C005,P005,7,0.15
ORD0096,2026-02-17,C006,P006,1,0.0
ORD0097,2026-02-18,C007,P001,4,0.05
ORD0098,2026-02-18,C008,P002,7,0.1
ORD0099,2026-02-19,C009,P003,1,0.15
ORD0100,2026-02-19,C010,P004,4,0.0
ORD0101,2026-02-20,C001,P005,7,0.05
ORD0102,2026-02-20,C002,P006,1,0.1
ORD0103,2026-02-21,C003,P001,4,0.15
ORD0104,2026-02-21,C004,P002,7,0.0
ORD0105,2026-02-22,C005,P003,1,0.05
ORD0106,2026-02-22,C006,P004,4,0.1
ORD0107,2026-02-23,C007,P005,7,0.15
ORD0108,2026-02-23,C008,P006,1,0.0
ORD0109,2026-02-24,C009,P001,4,0.05
ORD0110,2026-02-24,C010,P002,7,0.1
ORD0111,2026-02-25,C001,P003,1,0.15
