CustomerID,CustomerName,CustomerType,Region
CUST001,Customer 1,Corporate,North
CUST002,Customer 2,SMB,South
CUST003,Customer 3,Retail,East
CUST004,Customer 4,Corporate,West
CUST005,Customer 5,SMB,North
CUST006,Customer 6,Retail,South
CUST007,Customer 7,Corporate,East
CUST008,Customer 8,SMB,West
CUST009,Customer 9,Retail,North
CUST010,Customer 10,Corporate,South
CUST011,Customer 11,SMB,East
CUST012,Customer 12,Retail,West
CUST013,Customer 13,Corporate,North
CUST014,Customer 14,SMB,South
CUST015,Customer 15,Retail,East
CUST016,Customer 16,Corporate,West
CUST017,Customer 17,SMB,North
CUST018,Customer 18,Retail,South
CUST019,Customer 19,Corporate,East
CUST020,Customer 20,SMB,West
