OrderID,OrderDate,CustomerID,ProductID,Product,Category,Region,Channel,Quantity,UnitPrice,Discount,SalesAmount
ORD0001,2026-01-01,CUST001,P001,Laptop,Electronics,North,Online,6,65000,0,390000
ORD0002,2026-01-02,CUST002,P002,Monitor,Electronics,South,Retail,7,18000,0,126000
ORD0003,2026-01-03,CUST003,P003,Keyboard,Accessories,East,Partner,2,2200,0,4400
ORD0004,2026-01-04,CUST004,P004,Mouse,Accessories,West,Online,6,900,0,5400
ORD0005,2026-01-05,CUST005,P005,Printer,Office,North,Retail,4,12500,0,50000
ORD0006,2026-01-06,CUST006,P006,Headset,Accessories,South,Partner,2,3500,0.1,6300.0
ORD0007,2026-01-07,CUST007,P001,Laptop,Electronics,East,Online,7,65000,0,455000
ORD0008,2026-01-08,CUST008,P002,Monitor,Electronics,West,Retail,4,18000,0,72000
ORD0009,2026-01-09,CUST009,P003,Keyboard,Accessories,North,Partner,7,2200,0,15400
ORD0010,2026-01-10,CUST010,P004,Mouse,Accessories,South,Online,2,900,0,1800
ORD0011,2026-01-11,CUST011,P005,Printer,Office,East,Retail,1,12500,0.1,11250.0
ORD0012,2026-01-12,CUST012,P006,Headset,Accessories,West,Partner,1,3500,0,3500
ORD0013,2026-01-13,CUST013,P001,Laptop,Electronics,North,Online,1,65000,0,65000
ORD0014,2026-01-14,CUST014,P002,Monitor,Electronics,South,Retail,5,18000,0.1,81000.0
ORD0015,2026-01-15,CUST015,P003,Keyboard,Accessories,East,Partner,3,2200,0,6600
ORD0016,2026-01-16,CUST016,P004,Mouse,Accessories,West,Online,5,900,0,4500
ORD0017,2026-01-17,CUST017,P005,Printer,Office,North,Retail,2,12500,0,25000
ORD0018,2026-01-18,CUST018,P006,Headset,Accessories,South,Partner,6,3500,0,21000
ORD0019,2026-01-19,CUST019,P001,Laptop,Electronics,East,Online,2,65000,0,130000
ORD0020,2026-01-20,CUST020,P002,Monitor,Electronics,West,Retail,4,18000,0.1,64800.0
ORD0021,2026-01-21,CUST001,P003,Keyboard,Accessories,North,Partner,7,2200,0.05,14630.0
ORD0022,2026-01-22,CUST002,P004,Mouse,Accessories,South,Online,8,900,0.1,6480.0
ORD0023,2026-01-23,CUST003,P005,Printer,Office,East,Retail,6,12500,0.05,71250.0
ORD0024,2026-01-24,CUST004,P006,Headset,Accessories,West,Partner,4,3500,0,14000
ORD0025,2026-01-25,CUST005,P001,Laptop,Electronics,North,Online,4,65000,0,260000
ORD0026,2026-01-26,CUST006,P002,Monitor,Electronics,South,Retail,5,18000,0.1,81000.0
ORD0027,2026-01-27,CUST007,P003,Keyboard,Accessories,East,Partner,6,2200,0.1,11880.0
ORD0028,2026-01-28,CUST008,P004,Mouse,Accessories,West,Online,5,900,0,4500
ORD0029,2026-01-29,CUST009,P005,Printer,Office,North,Retail,2,12500,0.1,22500.0
ORD0030,2026-01-30,CUST010,P006,Headset,Accessories,South,Partner,3,3500,0.05,9975.0
ORD0031,2026-01-31,CUST011,P001,Laptop,Electronics,East,Online,3,65000,0.1,175500.0
ORD0032,2026-02-01,CUST012,P002,Monitor,Electronics,West,Retail,7,18000,0,126000
ORD0033,2026-02-02,CUST013,P003,Keyboard,Accessories,North,Partner,2,2200,0.05,4180.0
ORD0034,2026-02-03,CUST014,P004,Mouse,Accessories,South,Online,6,900,0.05,5130.0
ORD0035,2026-02-04,CUST015,P005,Printer,Office,East,Retail,8,12500,0.1,90000.0
ORD0036,2026-02-05,CUST016,P006,Headset,Accessories,West,Partner,2,3500,0,7000
ORD0037,2026-02-06,CUST017,P001,Laptop,Electronics,North,Online,5,65000,0.1,292500.0
ORD0038,2026-02-07,CUST018,P002,Monitor,Electronics,South,Retail,2,18000,0,36000
ORD0039,2026-02-08,CUST019,P003,Keyboard,Accessories,East,Partner,5,2200,0.1,9900.0
ORD0040,2026-02-09,CUST020,P004,Mouse,Accessories,West,Online,5,900,0.1,4050.0
ORD0041,2026-02-10,CUST001,P005,Printer,Office,North,Retail,6,12500,0,75000
ORD0042,2026-02-11,CUST002,P006,Headset,Accessories,South,Partner,8,3500,0.05,26600.0
ORD0043,2026-02-12,CUST003,P001,Laptop,Electronics,East,Online,3,65000,0,195000
ORD0044,2026-02-13,CUST004,P002,Monitor,Electronics,West,Retail,8,18000,0,144000
ORD0045,2026-02-14,CUST005,P003,Keyboard,Accessories,North,Partner,4,2200,0.05,8360.0
ORD0046,2026-02-15,CUST006,P004,Mouse,Accessories,South,Online,3,900,0,2700
ORD0047,2026-02-16,CUST007,P005,Printer,Office,East,Retail,7,12500,0.1,78750.0
ORD0048,2026-02-17,CUST008,P006,Headset,Accessories,West,Partner,8,3500,0,28000
ORD0049,2026-02-18,CUST009,P001,Laptop,Electronics,North,Online,3,65000,0.1,175500.0
ORD0050,2026-02-19,CUST010,P002,Monitor,Electronics,South,Retail,7,18000,0.05,119700.0
ORD0051,2026-02-20,CUST011,P003,Keyboard,Accessories,East,Partner,3,2200,0.1,5940.0
ORD0052,2026-02-21,CUST012,P004,Mouse,Accessories,West,Online,5,900,0.1,4050.0
ORD0053,2026-02-22,CUST013,P005,Printer,Office,North,Retail,6,12500,0.1,67500.0
ORD0054,2026-02-23,CUST014,P006,Headset,Accessories,South,Partner,4,3500,0,14000
ORD0055,2026-02-24,CUST015,P001,Laptop,Electronics,East,Online,2,65000,0,130000
ORD0056,2026-02-25,CUST016,P002,Monitor,Electronics,West,Retail,3,18000,0,54000
ORD0057,2026-02-26,CUST017,P003,Keyboard,Accessories,North,Partner,4,2200,0,8800
ORD0058,2026-02-27,CUST018,P004,Mouse,Accessories,South,Online,8,900,0,7200
ORD0059,2026-02-28,CUST019,P005,Printer,Office,East,Retail,5,12500,0.05,59375.0
ORD0060,2026-03-01,CUST020,P006,Headset,Accessories,West,Partner,1,3500,0,3500
ORD0061,2026-03-02,CUST001,P001,Laptop,Electronics,North,Online,7,65000,0.05,432250.0
ORD0062,2026-03-03,CUST002,P002,Monitor,Electronics,South,Retail,6,18000,0,108000
ORD0063,2026-03-04,CUST003,P003,Keyboard,Accessories,East,Partner,1,2200,0.1,1980.0
ORD0064,2026-03-05,CUST004,P004,Mouse,Accessories,West,Online,7,900,0.1,5670.0
ORD0065,2026-03-06,CUST005,P005,Printer,Office,North,Retail,7,12500,0.1,78750.0
