ReadingID,Date,DeviceID,SiteID,Temperature,Humidity,EnergyKWh,AlertCount
R00001,2026-01-01,DEV001,S01,34.6,69.5,10.25,0
R00002,2026-01-01,DEV002,S02,54.7,45.8,12.3,0
R00003,2026-01-02,DEV003,S03,75.7,60.6,8.57,0
R00004,2026-01-02,DEV004,S04,39.1,35.2,6.82,0
R00005,2026-01-03,DEV005,S05,61.5,38.5,12.32,0
R00006,2026-01-03,DEV006,S06,38.9,46.6,2.55,0
R00007,2026-01-04,DEV007,S01,87.8,71.9,13.38,1
R00008,2026-01-04,DEV008,S02,63.4,36.7,6.28,0
R00009,2026-01-05,DEV001,S03,55.8,40.8,14.38,0
R00010,2026-01-05,DEV002,S04,47.6,42.7,12.63,0
R00011,2026-01-06,DEV003,S05,32.0,81.4,7.89,1
R00012,2026-01-06,DEV004,S06,59.3,52.1,8.3,0
R00013,2026-01-07,DEV005,S01,36.0,36.9,13.26,0
R00014,2026-01-07,DEV006,S02,39.0,74.0,4.71,0
R00015,2026-01-08,DEV007,S03,86.0,79.7,11.81,2
R00016,2026-01-08,DEV008,S04,72.8,64.0,11.49,0
R00017,2026-01-09,DEV001,S05,31.8,58.8,12.75,0
R00018,2026-01-09,DEV002,S06,36.9,81.2,13.54,1
R00019,2026-01-10,DEV003,S01,50.2,53.3,7.87,0
R00020,2026-01-10,DEV004,S02,48.7,84.7,7.03,1
R00021,2026-01-11,DEV005,S03,25.7,39.7,11.34,0
R00022,2026-01-11,DEV006,S04,87.5,59.8,8.39,1
R00023,2026-01-12,DEV007,S05,59.2,72.4,4.89,0
R00024,2026-01-12,DEV008,S06,63.0,62.8,10.09,0
R00025,2026-01-13,DEV001,S01,35.6,43.5,6.53,0
R00026,2026-01-13,DEV002,S02,83.3,52.3,9.76,1
R00027,2026-01-14,DEV003,S03,43.6,40.2,2.85,0
R00028,2026-01-14,DEV004,S04,76.1,73.9,6.87,0
R00029,2026-01-15,DEV005,S05,67.7,68.8,13.68,0
R00030,2026-01-15,DEV006,S06,85.3,55.4,14.86,1
R00031,2026-01-16,DEV007,S01,85.5,64.5,13.48,1
R00032,2026-01-16,DEV008,S02,55.4,53.8,5.21,0
R00033,2026-01-17,DEV001,S03,80.1,43.1,2.9,1
R00034,2026-01-17,DEV002,S04,75.5,73.7,8.28,0
R00035,2026-01-18,DEV003,S05,77.6,37.6,5.35,0
R00036,2026-01-18,DEV004,S06,42.6,56.0,4.22,0
R00037,2026-01-19,DEV005,S01,28.4,51.9,13.69,0
R00038,2026-01-19,DEV006,S02,86.9,72.3,8.23,1
R00039,2026-01-20,DEV007,S03,40.1,82.9,8.83,1
R00040,2026-01-20,DEV008,S04,70.6,36.4,4.76,0
R00041,2026-01-21,DEV001,S05,77.6,74.8,13.46,0
R00042,2026-01-21,DEV002,S06,62.5,56.3,9.55,0
R00043,2026-01-22,DEV003,S01,78.4,50.4,8.95,0
R00044,2026-01-22,DEV004,S02,41.7,73.4,2.13,0
R00045,2026-01-23,DEV005,S03,67.9,82.7,2.31,1
R00046,2026-01-23,DEV006,S04,62.0,67.2,13.07,0
R00047,2026-01-24,DEV007,S05,61.4,47.9,7.27,0
R00048,2026-01-24,DEV008,S06,85.4,80.3,3.74,2
R00049,2026-01-25,DEV001,S01,30.1,39.7,2.33,0
R00050,2026-01-25,DEV002,S02,52.6,42.0,13.28,0
R00051,2026-01-26,DEV003,S03,65.9,41.3,9.0,0
R00052,2026-01-26,DEV004,S04,44.8,59.7,4.85,0
R00053,2026-01-27,DEV005,S05,34.6,44.2,6.91,0
R00054,2026-01-27,DEV006,S06,69.4,62.5,2.6,0
R00055,2026-01-28,DEV007,S01,69.5,78.7,12.07,1
R00056,2026-01-28,DEV008,S02,74.6,35.4,8.03,0
R00057,2026-01-29,DEV001,S03,28.1,73.2,4.28,0
R00058,2026-01-29,DEV002,S04,69.5,47.6,11.06,0
R00059,2026-01-30,DEV003,S05,44.1,37.1,7.06,0
R00060,2026-01-30,DEV004,S06,43.8,80.0,5.84,1
R00061,2026-01-31,DEV005,S01,56.2,62.5,14.33,0
R00062,2026-01-31,DEV006,S02,30.3,65.1,8.61,0
R00063,2026-02-01,DEV007,S03,71.0,83.4,6.03,1
R00064,2026-02-01,DEV008,S04,68.8,61.3,9.29,0
R00065,2026-02-02,DEV001,S05,28.1,75.7,14.7,0
R00066,2026-02-02,DEV002,S06,46.7,50.9,14.91,0
R00067,2026-02-03,DEV003,S01,30.9,38.8,2.95,0
R00068,2026-02-03,DEV004,S02,76.1,73.0,7.82,0
R00069,2026-02-04,DEV005,S03,63.8,36.0,10.38,0
R00070,2026-02-04,DEV006,S04,52.3,60.9,7.06,0
R00071,2026-02-05,DEV007,S05,49.7,46.3,2.63,0
R00072,2026-02-05,DEV008,S06,51.8,47.4,11.15,0
R00073,2026-02-06,DEV001,S01,76.3,71.2,7.93,0
R00074,2026-02-06,DEV002,S02,39.1,54.3,8.33,0
R00075,2026-02-07,DEV003,S03,64.4,83.2,3.11,1
R00076,2026-02-07,DEV004,S04,54.7,59.6,11.32,0
R00077,2026-02-08,DEV005,S05,81.0,74.0,10.15,1
R00078,2026-02-08,DEV006,S06,72.5,68.4,13.17,0
R00079,2026-02-09,DEV007,S01,68.7,69.1,5.19,0
R00080,2026-02-09,DEV008,S02,82.7,54.3,9.99,1
