OrderID,OrderDate,CustomerID,ProductID,Product,Category,Region,Channel,Quantity,UnitPrice,Discount,SalesAmount,TransactionNotes
ORD00001,2025-01-01,CUST001,P001,Laptop,Electronics,North,Online,1,65000,0.0,65000.0,Transaction note 00001 - system ref 00001
ORD00002,2025-01-02,CUST002,P002,Monitor,Accessories,South,Retail,2,18000,0.02,35280.0,Transaction note 00002 - system ref 00002
ORD00003,2025-01-03,CUST003,P003,Keyboard,Office Equipment,East,Partner,3,2200,0.04,6336.0,Transaction note 00003 - system ref 00003
ORD00004,2025-01-04,CUST004,P004,Mouse,Electronics,West,Online,4,900,0.06,3384.0,Transaction note 00004 - system ref 00004
ORD00005,2025-01-05,CUST005,P005,Printer,Accessories,North,Retail,5,12500,0.08,57500.0,Transaction note 00005 - system ref 00005
ORD00006,2025-01-06,CUST006,P006,Laptop,Office Equipment,South,Partner,6,65000,0.1,351000.0,Transaction note 00006 - system ref 00006
ORD00007,2025-01-07,CUST007,P007,Monitor,Electronics,East,Online,7,18000,0.0,126000.0,Transaction note 00007 - system ref 00007
ORD00008,2025-01-08,CUST008,P008,Keyboard,Accessories,West,Retail,8,2200,0.02,17248.0,Transaction note 00008 - system ref 00008
ORD00009,2025-01-09,CUST009,P009,Mouse,Office Equipment,North,Partner,1,900,0.04,864.0,Transaction note 00009 - system ref 00009
ORD00010,2025-01-10,CUST010,P010,Printer,Electronics,South,Online,2,12500,0.06,23500.0,Transaction note 00010 - system ref 00010
ORD00011,2025-01-11,CUST011,P011,Laptop,Accessories,East,Retail,3,65000,0.08,179400.0,Transaction note 00011 - system ref 00011
ORD00012,2025-01-12,CUST012,P012,Monitor,Office Equipment,West,Partner,4,18000,0.1,64800.0,Transaction note 00012 - system ref 00012
ORD00013,2025-01-13,CUST013,P013,Keyboard,Electronics,North,Online,5,2200,0.0,11000.0,Transaction note 00013 - system ref 00013
ORD00014,2025-01-14,CUST014,P014,Mouse,Accessories,South,Retail,6,900,0.02,5292.0,Transaction note 00014 - system ref 00014
ORD00015,2025-01-15,CUST015,P015,Printer,Office Equipment,East,Partner,7,12500,0.04,84000.0,Transaction note 00015 - system ref 00015
ORD00016,2025-01-16,CUST016,P016,Laptop,Electronics,West,Online,8,65000,0.06,488800.0,Transaction note 00016 - system ref 00016
ORD00017,2025-01-17,CUST017,P017,Monitor,Accessories,North,Retail,1,18000,0.08,16560.0,Transaction note 00017 - system ref 00017
ORD00018,2025-01-18,CUST018,P018,Keyboard,Office Equipment,South,Partner,2,2200,0.1,3960.0,Transaction note 00018 - system ref 00018
ORD00019,2025-01-19,CUST019,P019,Mouse,Electronics,East,Online,3,900,0.0,2700.0,Transaction note 00019 - system ref 00019
ORD00020,2025-01-20,CUST020,P020,Printer,Accessories,West,Retail,4,12500,0.02,49000.0,Transaction note 00020 - system ref 00020
ORD00021,2025-01-21,CUST021,P021,Laptop,Office Equipment,North,Partner,5,65000,0.04,312000.0,Transaction note 00021 - system ref 00021
ORD00022,2025-01-22,CUST022,P022,Monitor,Electronics,South,Online,6,18000,0.06,101520.0,Transaction note 00022 - system ref 00022
ORD00023,2025-01-23,CUST023,P023,Keyboard,Accessories,East,Retail,7,2200,0.08,14168.0,Transaction note 00023 - system ref 00023
ORD00024,2025-01-24,CUST024,P024,Mouse,Office Equipment,West,Partner,8,900,0.1,6480.0,Transaction note 00024 - system ref 00024
