Region,Month,SalesAmount
South,Jan,130000
North,Jan,54000
East,Jan,8800
West,Jan,4500
South,Jan,25000
North,Jan,65000
East,Jan,36000
West,Jan,6600
South,Jan,3600
North,Jan,25000
East,Jan,195000
West,Jan,72000
South,Jan,11000
North,Jan,5400
East,Jan,12500
West,Jan,130000
South,Jan,54000
North,Jan,8800
East,Jan,4500
West,Jan,25000
South,Feb,130000
North,Feb,54000
East,Feb,8800
West,Feb,4500
South,Feb,25000
North,Feb,65000
East,Feb,36000
West,Feb,6600
South,Feb,3600
North,Feb,25000
East,Feb,195000
West,Feb,72000
South,Feb,11000
North,Feb,5400
East,Feb,12500
West,Feb,130000
South,Feb,54000
North,Feb,8800
East,Feb,4500
West,Feb,25000
South,Mar,130000
North,Mar,54000
East,Mar,8800
West,Mar,4500
South,Mar,25000
North,Mar,65000
East,Mar,36000
West,Mar,6600
South,Mar,3600
North,Mar,25000
East,Mar,195000
West,Mar,72000
South,Mar,11000
North,Mar,5400
East,Mar,12500
West,Mar,130000
South,Mar,54000
North,Mar,8800
East,Mar,4500
West,Mar,25000
