OrderID,OrderDate,Region,Product,Quantity,Jan_Sales,Feb_Sales,Mar_Sales,Apr_Sales,May_Sales
ORD001,2026-01-05,South,Laptop,2,130000,0,0,0,0
ORD002,2026-01-06,North,Monitor,3,54000,0,0,0,0
ORD003,2026-01-07,East,Keyboard,4,8800,0,0,0,0
ORD004,2026-01-08,West,Mouse,5,4500,0,0,0,0
ORD005,2026-01-09,South,Printer,2,25000,0,0,0,0
ORD006,2026-01-10,North,Laptop,1,65000,0,0,0,0
ORD007,2026-01-11,East,Monitor,2,36000,0,0,0,0
ORD008,2026-01-12,West,Keyboard,3,6600,0,0,0,0
ORD009,2026-01-13,South,Mouse,4,3600,0,0,0,0
ORD010,2026-01-14,North,Printer,2,25000,0,0,0,0
ORD011,2026-01-15,East,Laptop,3,195000,0,0,0,0
ORD012,2026-01-16,West,Monitor,4,72000,0,0,0,0
ORD013,2026-01-17,South,Keyboard,5,11000,0,0,0,0
ORD014,2026-01-18,North,Mouse,6,5400,0,0,0,0
ORD015,2026-01-19,East,Printer,1,12500,0,0,0,0
ORD016,2026-01-20,West,Laptop,2,130000,0,0,0,0
ORD017,2026-01-21,South,Monitor,3,54000,0,0,0,0
ORD018,2026-01-22,North,Keyboard,4,8800,0,0,0,0
ORD019,2026-01-23,East,Mouse,5,4500,0,0,0,0
ORD020,2026-01-24,West,Printer,2,25000,0,0,0,0
