OrderID,OrderDate,CustomerID,Product,Category,Region,Channel,Salesperson,Quantity,UnitPrice,SalesAmount,CustomerRegion
ORD021,2026-02-01,CUST021,Laptop,Electronics,South,Retail,Arun,2,65000,130000,CUST021 | South
ORD022,2026-02-02,CUST022,Monitor,Electronics,North,Online,Priya,3,18000,54000,CUST022 | North
ORD023,2026-02-03,CUST023,Keyboard,Accessories,East,Partner,Rahul,4,2200,8800,CUST023 | East
ORD024,2026-02-04,CUST024,Mouse,Accessories,West,Retail,Meena,5,900,4500,CUST024 | West
ORD025,2026-02-05,CUST025,Printer,Electronics,South,Online,Arun,2,12500,25000,CUST025 | South
ORD026,2026-02-06,CUST026,Laptop,Electronics,North,Partner,Priya,1,65000,65000,CUST026 | North
ORD027,2026-02-07,CUST027,Monitor,Electronics,East,Retail,Rahul,2,18000,36000,CUST027 | East
ORD028,2026-02-08,CUST028,Keyboard,Accessories,West,Online,Meena,3,2200,6600,CUST028 | West
ORD029,2026-02-09,CUST029,Mouse,Accessories,South,Partner,Arun,4,900,3600,CUST029 | South
ORD030,2026-02-10,CUST030,Printer,Electronics,North,Retail,Priya,2,12500,25000,CUST030 | North
ORD031,2026-02-11,CUST031,Laptop,Electronics,East,Online,Rahul,3,65000,195000,CUST031 | East
ORD032,2026-02-12,CUST032,Monitor,Electronics,West,Partner,Meena,4,18000,72000,CUST032 | West
ORD033,2026-02-13,CUST033,Keyboard,Accessories,South,Retail,Arun,5,2200,11000,CUST033 | South
ORD034,2026-02-14,CUST034,Mouse,Accessories,North,Online,Priya,6,900,5400,CUST034 | North
ORD035,2026-02-15,CUST035,Printer,Electronics,East,Partner,Rahul,1,12500,12500,CUST035 | East
ORD036,2026-02-16,CUST036,Laptop,Electronics,West,Retail,Meena,2,65000,130000,CUST036 | West
ORD037,2026-02-17,CUST037,Monitor,Electronics,South,Online,Arun,3,18000,54000,CUST037 | South
ORD038,2026-02-18,CUST038,Keyboard,Accessories,North,Partner,Priya,4,2200,8800,CUST038 | North
ORD039,2026-02-19,CUST039,Mouse,Accessories,East,Retail,Rahul,5,900,4500,CUST039 | East
ORD040,2026-02-20,CUST040,Printer,Electronics,West,Online,Meena,2,12500,25000,CUST040 | West
