Timestamp,DeviceID,SiteID,Status,PayloadXML
2026-01-01 01:00:00,DEV001,S01,OK,"<Reading><Temperature unit=""C"">63.1</Temperature><Humidity unit=""percent"">68.2</Humidity><Energy unit=""kWh"">1.93</Energy><Battery>58</Battery><Alert></Alert><Location><Zone>Z1</Zone><Floor>1</Floor></Location></Reading>"
2026-01-01 02:00:00,DEV002,S02,OK,"<Reading><Temperature unit=""C"">55.5</Temperature><Humidity unit=""percent"">68.3</Humidity><Energy unit=""kWh"">4.25</Energy><Battery>57</Battery><Alert></Alert><Location><Zone>Z2</Zone><Floor>2</Floor></Location></Reading>"
2026-01-01 03:00:00,DEV003,S03,OK,"<Reading><Temperature unit=""C"">58.6</Temperature><Humidity unit=""percent"">44.6</Humidity><Energy unit=""kWh"">8.15</Energy><Battery>68</Battery><Alert></Alert><Location><Zone>Z3</Zone><Floor>3</Floor></Location></Reading>"
2026-01-01 04:00:00,DEV004,S04,OK,"<Reading><Temperature unit=""C"">66.7</Temperature><Humidity unit=""percent"">80.1</Humidity><Energy unit=""kWh"">7.58</Energy><Battery>58</Battery><Alert></Alert><Location><Zone>Z4</Zone><Floor>1</Floor></Location></Reading>"
2026-01-01 05:00:00,DEV005,S05,OK,"<Reading><Temperature unit=""C"">48.8</Temperature><Humidity unit=""percent"">76.7</Humidity><Energy unit=""kWh"">3.99</Energy><Battery>46</Battery><Alert></Alert><Location><Zone>Z1</Zone><Floor>2</Floor></Location></Reading>"
2026-01-01 06:00:00,DEV006,S06,OK,"<Reading><Temperature unit=""C"">50.4</Temperature><Humidity unit=""percent"">64.0</Humidity><Energy unit=""kWh"">8.03</Energy><Battery>79</Battery><Alert></Alert><Location><Zone>Z2</Zone><Floor>3</Floor></Location></Reading>"
2026-01-01 07:00:00,DEV007,S01,OK,"<Reading><Temperature unit=""C"">51.2</Temperature><Humidity unit=""percent"">68.8</Humidity><Energy unit=""kWh"">6.38</Energy><Battery>41</Battery><Alert></Alert><Location><Zone>Z3</Zone><Floor>1</Floor></Location></Reading>"
2026-01-01 08:00:00,DEV008,S02,OK,"<Reading><Temperature unit=""C"">65.5</Temperature><Humidity unit=""percent"">49.2</Humidity><Energy unit=""kWh"">8.13</Energy><Battery>99</Battery><Alert></Alert><Location><Zone>Z4</Zone><Floor>2</Floor></Location></Reading>"
2026-01-01 09:00:00,DEV001,S03,OK,"<Reading><Temperature unit=""C"">44.1</Temperature><Humidity unit=""percent"">75.9</Humidity><Energy unit=""kWh"">9.14</Energy><Battery>59</Battery><Alert></Alert><Location><Zone>Z1</Zone><Floor>3</Floor></Location></Reading>"
2026-01-01 10:00:00,DEV002,S04,OK,"<Reading><Temperature unit=""C"">36.8</Temperature><Humidity unit=""percent"">45.0</Humidity><Energy unit=""kWh"">0.78</Energy><Battery>51</Battery><Alert></Alert><Location><Zone>Z2</Zone><Floor>1</Floor></Location></Reading>"
2026-01-01 11:00:00,DEV003,S05,WARN,"<Reading><Temperature unit=""C"">86.9</Temperature><Humidity unit=""percent"">65.6</Humidity><Energy unit=""kWh"">9.34</Energy><Battery>78</Battery><Alert></Alert><Location><Zone>Z3</Zone><Floor>2</Floor></Location></Reading>"
2026-01-01 12:00:00,DEV004,S06,OK,"<Reading><Temperature unit=""C"">49.4</Temperature><Humidity unit=""percent"">66.5</Humidity><Energy unit=""kWh"">2.74</Energy><Battery>69</Battery><Alert></Alert><Location><Zone>Z4</Zone><Floor>3</Floor></Location></Reading>"
