device_id,timestamp,temperature,humidity,status
D0009,2026-01-01 00:00:00,29.42,50.48,Critical
D0014,2026-01-01 00:05:00,24.21,42.89,Critical
D0065,2026-01-01 00:10:00,32.7,45.18,Normal
D0053,2026-01-01 00:15:00,26.1,37.39,Warning
,2026-01-01 00:20:00,33.86,46.51,Critical
D0056,2026-01-01 00:25:00,25.67,75.3,Normal
D0079,2026-01-01 00:30:00,30.76,89.01,Normal
D0022,2026-01-01 00:35:00,30.14,82.03,Critical
D0099,2026-01-01 00:40:00,28.85,78.87,Critical
D0041,2026-01-01 00:45:00,23.82,61.08,Critical
D0091,2026-01-01 00:50:00,30.54,59.26,Critical
D0026,2026-01-01 00:55:00,,80.83,Warning
D0043,2026-01-01 01:00:00,26.39,78.13,Normal
D0082,2026-01-01 01:05:00,30.09,200,Critical
D0089,2026-01-01 01:10:00,30.36,73.43,Critical
D0087,2026-01-01 01:15:00,30.87,84.87,Critical
D0003,2026-01-01 01:20:00,26.22,82.66,Warning
D0012,2026-01-01 01:25:00,26.48,70.26,Critical
D0067,2026-01-01 01:30:00,30.35,88.77,Critical
D0014,2026-01-01 01:35:00,31.19,35.08,Warning
D0069,2026-01-01 01:40:00,32.9,81.92,Normal
D0100,2026-01-01 01:45:00,31.12,65.3,Normal
D0096,2026-01-01 01:50:00,29.49,43.54,Warning
D0003,2026-01-01 01:55:00,22.08,83.48,Warning
D0094,2026-01-01 02:00:00,34.55,47.22,Warning
D0030,2026-01-01 02:05:00,32.48,59.0,Normal
D0047,2026-01-01 02:10:00,34.33,38.24,Critical
D0063,2026-01-01 02:15:00,19.72,38.67,Warning
D0001,2026-01-01 02:20:00,27.35,77.4,Critical
D0002,2026-01-01 02:25:00,29.79,51.82,Critical
D0032,2026-01-01 02:30:00,32.54,71.71,Warning
D0089,2026-01-01 02:35:00,29.73,56.87,Warning
D0051,2026-01-01 02:40:00,25.88,84.33,Warning
D0093,2026-01-01 02:45:00,23.27,87.42,Normal
D0049,2026-01-01 02:50:00,28.76,55.91,Normal
D0058,2026-01-01 02:55:00,20.45,66.12,Critical
D0088,2026-01-01 03:00:00,29.44,35.69,Normal
D0026,2026-01-01 03:05:00,27.36,84.36,Normal
D0095,2026-01-01 03:10:00,32.57,39.89,Critical
D0007,2026-01-01 03:15:00,30.77,77.02,Normal
D0096,2026-01-01 03:20:00,27.19,88.82,Critical
D0036,2026-01-01 03:25:00,25.78,75.13,Normal
D0082,2026-01-01 03:30:00,27.72,87.6,Critical
D0098,2026-01-01 03:35:00,27.07,45.0,Critical
D0070,2026-01-01 03:40:00,30.86,83.76,Critical
D0082,2026-01-01 03:45:00,31.8,89.06,Warning
D0021,2026-01-01 03:50:00,26.8,80.04,Warning
D0081,2026-01-01 03:55:00,29.04,79.07,Critical
D0081,2026-01-01 04:00:00,high,63.08,Warning
D0076,2026-01-01 04:05:00,31.37,46.66,Normal
D0002,2026-01-01 04:10:00,32.23,66.64,Critical
D0074,2026-01-01 04:15:00,28.02,59.07,Critical
D0036,2026-01-01 04:20:00,29.19,56.05,Normal
D0031,2026-01-01 04:25:00,27.95,83.75,Normal
D0087,2026-01-01 04:30:00,26.23,52.48,Normal
D0065,2026-01-01 04:35:00,27.52,45.41,Normal
D0099,2026-01-01 04:40:00,30.67,40.84,Normal
D0086,2026-01-01 04:45:00,24.2,39.65,Critical
D0067,2026-01-01 04:50:00,37.51,88.01,Critical
D0062,2026-01-01 04:55:00,26.63,39.91,Warning
D0088,2026-01-01 05:00:00,30.52,67.36,Critical
D0076,2026-01-01 05:05:00,26.59,59.15,Normal
D0085,2026-01-01 05:10:00,36.18,46.23,Warning
D0075,2026-01-01 05:15:00,32.41,55.77,Normal
D0023,2026-01-01 05:20:00,29.01,81.05,Normal
D0065,2026-01-01 05:25:00,29.29,56.51,Critical
D0094,2026-01-01 05:30:00,30.77,86.01,
D0016,2026-01-01 05:35:00,31.23,76.15,Warning
D0075,2026-01-01 05:40:00,31.14,69.5,Warning
D0045,2026-01-01 05:45:00,27.08,42.39,Critical
D0046,2026-01-01 05:50:00,28.11,88.36,Critical
D0048,2026-01-01 05:55:00,33.44,72.88,Normal
D0034,2026-01-01 06:00:00,26.68,79.6,Normal
D0091,2026-01-01 06:05:00,27.73,52.14,Normal
D0001,2026-01-01 06:10:00,29.48,57.85,Warning
D0045,2026-01-01 06:15:00,25.42,35.12,Critical
D0046,2026-01-01 06:20:00,28.38,86.21,normal
D0079,2026-01-01 06:25:00,27.2,42.87,Normal
D0033,2026-01-01 06:30:00,24.78,51.7,Warning
D0087,2026-01-01 06:35:00,27.39,68.95,Critical
D0026,2026-01-01 06:40:00,26.23,44.94,Normal
D0012,2026-01-01 06:45:00,21.19,38.11,Normal
D0029,2026-01-01 06:50:00,29.66,81.25,Critical
D0089,2026-01-01 06:55:00,29.46,35.23,Normal
D0002,2026-01-01 07:00:00,29.55,79.56,Warning
D0085,2026-01-01 07:05:00,32.49,74.74,Normal
D0013,2026-01-01 07:10:00,34.59,79.52,Warning
D0072,2026-01-01 07:15:00,32.03,65.64,Warning
D0054,2026-01-01 07:20:00,30.81,61.41,Critical
D0018,2026-01-01 07:25:00,29.54,42.53,Warning
D0060,2026-01-01 07:30:00,29.38,57.03,Critical
D0042,2026-01-01 07:35:00,36.23,72.42,Critical
D0081,2026-01-01 07:40:00,28.01,47.91,Normal
D0036,2026-01-01 07:45:00,30.49,48.14,Normal
D0039,2026-01-01 07:50:00,23.08,70.79,Normal
D0070,2026-01-01 07:55:00,28.95,52.43,Normal
D0084,2026-01-01 08:00:00,27.16,72.47,Normal
D0087,2026-01-01 08:05:00,30.61,55.43,Warning
D0027,2026-01-01 08:10:00,28.9,76.86,Warning
D0001,2026-01-01 08:15:00,25.09,80.92,Warning
D0009,2026-01-01 08:20:00,25.32,59.8,Normal
D0016,2026-01-01 08:25:00,27.9,81.95,Normal
D0066,2026-01-01 08:30:00,28.51,60.95,Normal
D0052,2026-01-01 08:35:00,36.06,35.45,Normal
D0065,2026-01-01 08:40:00,26.28,40.45,Normal
D0026,2026-01-01 08:45:00,29.65,60.6,Warning
D0092,2026-01-01 08:50:00,33.62,43.7,Warning
D0091,2026-01-01 08:55:00,30.67,46.17,Warning
D0003,2026-01-01 09:00:00,,54.3,Critical
D0002,2026-01-01 09:05:00,36.4,61.72,Normal
device-01,2026-01-01 09:10:00,27.12,69.1,Warning
D0051,2026-01-01 09:15:00,22.32,45.05,Warning
D0049,2026-01-01 09:20:00,28.66,66.93,Normal
D0037,2026-01-01 09:25:00,35.12,49.58,Critical
D0009,2026-01-01 09:30:00,26.87,73.21,Normal
D0069,2026-01-01 09:35:00,31.21,52.6,Warning
D0076,2026-01-01 09:40:00,26.6,36.15,Normal
D0019,2026-01-01 09:45:00,29.1,48.75,Normal
D0086,2026-01-01 09:50:00,32.17,52.51,Critical
D0038,2026-01-01 09:55:00,33.64,38.89,Critical
D0040,2026-01-01 10:00:00,29.7,64.21,Normal
D0004,2026-01-01 10:05:00,25.12,42.61,Critical
D0033,2026-01-01 10:10:00,35.21,48.86,Warning
D0036,2026-01-01 10:15:00,29.55,55.6,Warning
D0054,2026-01-01 10:20:00,28.09,75.8,Critical
D0057,2026-01-01 10:25:00,28.33,84.99,Normal
D0015,2026-01-01 10:30:00,29.0,75.95,Warning
d0004,2026-01-01 10:35:00,30.71,49.87,Normal
D0063,2026-01-01 10:40:00,25.91,56.82,Critical
D0004,2026-01-01 10:45:00,29.42,41.4,Warning
D0033,2026-01-01 10:50:00,37.28,84.45,Normal
D0020,2026-01-01 10:55:00,26.14,70.49,Normal
D0063,2026-01-01 11:00:00,24.74,55.53,Warning
D0038,2026-01-01 11:05:00,27.81,44.95,Normal
D0029,2026-01-01 11:10:00,25.62,49.32,Warning
D0091,2026-01-01 11:15:00,26.9,70.21,Critical
D0013,2026-01-01 11:20:00,35.47,76.32,Warning
D0035,2026-01-01 11:25:00,28.92,35.66,Critical
D0020,2026-01-01 11:30:00,26.65,69.67,Critical
D0062,2026-01-01 11:35:00,23.29,85.13,Critical
D0089,2026-01-01 11:40:00,35.74,59.49,Warning
D0061,2026-01-01 11:45:00,26.09,50.73,Normal
D0050,2026-01-01 11:50:00,30.44,45.17,Critical
D0084,2026-01-01 11:55:00,24.6,47.35,Normal
D0076,2026-01-01 12:00:00,29.5,88.45,Critical
D0045,2026-01-01 12:05:00,29.36,85.21,Critical
D0024,2026-01-01 12:10:00,24.98,87.2,Warning
D0091,2026-01-01 12:15:00,23.4,78.13,Normal
D0017,2026-01-01 12:20:00,33.69,53.46,
D0068,2026-01-01 12:25:00,27.75,72.9,Critical
D0045,2026-01-01 12:30:00,24.73,38.1,Normal
D0039,2026-01-01 12:35:00,23.89,55.44,Warning
D0066,2026-01-01 12:40:00,27.56,73.21,Critical
D0030,2026-01-01 12:45:00,37.69,81.88,Normal
D0039,2026-01-01 12:50:00,31.22,39.45,Normal
D0061,2026-01-01 12:55:00,26.03,71.69,Warning
D0042,2026-01-01 13:00:00,21.98,67.64,Normal
D0074,2026-01-01 13:05:00,23.6,88.76,Warning
D0005,2026-01-01 13:10:00,29.33,63.45,Warning
D0089,2026-01-01 13:15:00,26.79,60.36,Critical
D0041,2026-01-01 13:20:00,35.88,39.88,Warning
D0048,2026-01-01 13:25:00,37.78,77.14,Normal
D0024,2026-01-01 13:30:00,34.46,85.83,Warning
D0033,2026-01-01 13:35:00,26.66,61.33,Warning
D0058,2026-01-01 13:40:00,21.32,70.83,Critical
D0028,2026-01-01 13:45:00,37.7,61.52,Warning
D0054,2026-01-01 13:50:00,28.97,87.23,Warning
D0048,2026-01-01 13:55:00,28.81,84.84,Critical
D0055,2026-01-01 14:00:00,35.09,43.02,Warning
D0097,2026-01-01 14:05:00,33.59,37.5,Normal
D0087,2026-01-01 14:10:00,29.54,75.18,Normal
D0094,2026-01-01 14:15:00,25.17,63.06,Warning
D0052,2026-01-01 14:20:00,33.24,62.29,Critical
D0036,2026-01-01 14:25:00,33.01,60.02,Warning
device-01,2026-01-01 14:30:00,20.76,87.79,Normal
D0083,2026-01-01 14:35:00,33.51,46.74,Warning
D0010,2026-01-01 14:40:00,26.42,40.74,Critical
D0013,2026-01-01 14:45:00,30.33,39.33,Normal
D0046,2026-01-01 14:50:00,31.79,43.32,Normal
D0046,2026-01-01 14:55:00,26.13,43.39,Critical
D0008,2026-01-01 15:00:00,27.83,59.69,Critical
D0047,2026-01-01 15:05:00,32.41,88.9,Warning
D0097,2026-01-01 15:10:00,30.07,44.91,Critical
D0042,2026-01-01 15:15:00,26.59,63.9,Normal
D0055,2026-01-01 15:20:00,26.83,84.04,Warning
D0002,2026-01-01 15:25:00,28.97,63.93,Warning
D0094,2026-01-01 15:30:00,23.27,83.54,Critical
D0031,2026-01-01 15:35:00,37.7,85.46,Normal
D0039,2026-01-01 15:40:00,27.94,75.9,Critical
D0055,2026-01-01 15:45:00,,50.86,Critical
D0031,2026-01-01 15:50:00,31.9,57.92,Warning
D0042,2026-01-01 15:55:00,18.21,38.16,Warning
D0035,2026-01-01 16:00:00,26.3,37.03,Normal
D0020,2026-01-01 16:05:00,26.85,56.55,Warning
D0082,2026-01-01 16:10:00,26.55,40.33,Normal
D0026,2026-01-01 16:15:00,30.07,80.91,Warning
D0083,2026-01-01 16:20:00,19.09,63.69,Critical
D0053,2026-01-01 16:25:00,33.49,73.99,Critical
D0064,2026-01-01 16:30:00,24.36,52.88,Critical
D0096,2026-01-01 16:35:00,27.48,65.41,Critical
D0045,2026-01-01 16:40:00,28.51,43.43,Warning
D0047,2026-01-01 16:45:00,150,58.7,Critical
D0009,2026-01-01 16:50:00,31.0,61.55,Critical
D0097,2026-01-01 16:55:00,31.39,52.72,Warning
D0087,2026-01-01 17:00:00,25.76,72.25,Critical
D0075,2026-01-01 17:05:00,28.02,79.98,warning
D0044,2026-01-01 17:10:00,32.54,43.03,Critical
D0014,2026-01-01 17:15:00,38.7,39.48,Critical
D0016,2026-01-01 17:20:00,26.21,40.57,Normal
D0081,2026-01-01 17:25:00,34.84,61.66,Normal
D0092,2026-01-01 17:30:00,24.02,60.17,Normal
D0100,2026-01-01 17:35:00,27.47,65.58,normal
D0048,2026-01-01 17:40:00,26.64,66.38,Normal
D0045,2026-01-01 17:45:00,29.35,40.83,Critical
D0097,2026-01-01 17:50:00,27.9,80.97,Normal
D0046,2026-01-01 17:55:00,28.48,46.93,Critical
D0008,2026-01-01 18:00:00,28.63,59.69,Normal
D0035,2026-01-01 18:05:00,36.31,74.33,Warning
D0055,2026-01-01 18:10:00,35.64,68.25,Warning
D0073,2026-01-01 18:15:00,32.9,79.14,Warning
D0061,2026-01-01 18:20:00,28.59,39.34,Normal
D0038,2026-01-01 18:25:00,26.43,88.65,Critical
D0086,2026-01-01 18:30:00,32.02,40.0,Normal
D0042,2026-01-01 18:35:00,23.43,88.31,Critical
D0071,2026-01-01 18:40:00,26.0,40.52,Critical
D0064,2026-01-01 18:45:00,32.09,,Normal
D0074,2026-01-01 18:50:00,29.57,56.55,Normal
D0063,2026-01-01 18:55:00,30.01,53.6,Critical
D0014,2026-01-01 19:00:00,34.94,54.87,Critical
D0074,2026-01-01 19:05:00,28.45,46.08,Warning
D0069,2026-01-01 19:10:00,33.26,68.44,Critical
D0087,2026-01-01 19:15:00,,74.2,Critical
D0029,2026-01-01 19:20:00,38.23,86.28,Warning
D0042,2026-01-01 19:25:00,26.48,56.59,Normal
D0094,2026-01-01 19:30:00,30.56,52.74,Warning
D0064,2026-01-01 19:35:00,29.0,72.39,Critical
D0012,2026-01-01 19:40:00,26.69,75.75,Critical
D0031,2026-01-01 19:45:00,24.27,88.24,Critical
D0098,2026-01-01 19:50:00,21.83,67.48,Critical
D0078,2026-01-01 19:55:00,30.62,44.33,Critical
D0019,2026-01-01 20:00:00,30.0,46.04,Warning
D0006,2026-01-01 20:05:00,25.11,58.2,Critical
D0012,2026-01-01 20:10:00,30.29,46.21,Critical
D0008,2026-01-01 20:15:00,30.35,38.68,Normal
D0021,2026-01-01 20:20:00,25.53,53.36,Warning
D0022,2026-01-01 20:25:00,34.54,57.97,Warning
D0096,2026-01-01 20:30:00,23.66,76.94,Warning
D0053,2026-01-01 20:35:00,25.94,86.91,Warning
D0074,2026-01-01 20:40:00,33.28,78.27,Critical
D0074,2026-01-01 20:45:00,25.73,61.88,Critical
D0041,2026-01-01 20:50:00,23.04,43.47,Normal
D0045,2026-01-01 20:55:00,27.92,45.83,Normal
D0006,2026-01-01 21:00:00,31.27,77.87,Warning
D0017,2026-01-01 21:05:00,36.9,80.23,Warning
D0063,2026-01-01 21:10:00,29.46,56.1,Critical
D0075,2026-01-01 21:15:00,37.5,79.73,Warning
,2026-01-01 21:20:00,33.07,80.45,Warning
D0026,2026-01-01 21:25:00,25.19,71.15,Critical
D0031,2026-01-01 21:30:00,31.61,68.06,Normal
D0030,2026-01-01 21:35:00,28.82,58.46,Warning
D0036,2026-01-01 21:40:00,29.12,65.2,Normal
D0035,2026-01-01 21:45:00,23.22,78.45,Critical
D0014,2026-01-01 21:50:00,26.19,87.27,Warning
D0096,2026-01-01 21:55:00,39.35,83.51,Critical
