order_id,order_date,customer_id,product,region,quantity,unit_price,sales_amount,channel
ORD00001,2025-08-22,CUST0882,Webcam,East,2,65000,130000,Partner
ORD00002,2026-07-29,CUST1132,Tablet,South,6,4500,27000,Partner
ORD00003,2026-03-31,CUST0456,Monitor,North,1,12500,12500,Online
ORD00004,2026-10-21,CUST0872,Headset,West,4,65000,260000,Retail
ORD00005,2025-01-29,CUST0934,Laptop,South,4,4500,18000,Retail
ORD00006,2026-04-19,CUST1222,Laptop,North,6,4500,27000,Partner
ORD00007,2026-05-02,CUST1900,Monitor,South,4,2200,8800,Partner
ORD00008,2026-10-08,CUST0076,Mouse,East,7,900,6300,Online
ORD00009,2026-03-29,CUST2165,Monitor,West,5,18000,90000,ONLINE
ORD00010,2025-12-30,CUST2035,Laptop,South,2,4500,9000,Online
ORD00011,2025-10-13,CUST0960,Monitor,West,7,3200,22400,Online
ORD00012,2026-09-09,CUST2244,Printer,South,8,12500,100000,Partner
ORD00013,2026-05-14,CUST1335,Tablet,South,8,65000,520000,Online
ORD00014,2026-09-09,CUST1680,Keyboard,North,6,18000,108000,Partner
ORD00015,2026-11-13,CUST0643,Keyboard,East,7,4500,31500,Online
ORD00016,2026-03-16,CUST1590,Headset,North,8,65000,520000,Retail
ORD00017,2026-03-25,CUST1259,Keyboard,East,4,2200,8800,Retail
ORD00018,2025-07-22,CUST2154,Headset,South,6,18000,108000,Online
ORD00019,2025-08-03,CUST2549,Monitor,South,8,28000,224000,Partner
ORD00020,2026-05-11,CUST1493,Tablet,South,2,900,1800,Partner
ORD00021,2026-06-05,CUST0048,Printer,West,1,12500,12500,Partner
ORD00022,2026-05-10,CUST0773,Mouse,South,6,18000,108000,Partner
ORD00023,2026-07-24,CUST0969,Mouse,West,2,65000,130000,Retail
ORD00024,2026-03-22,CUST2804,Monitor,South,7,3200,22400,Online
ORD00025,2026-12-15,CUST2370,Printer,West,5,28000,140000,Online
ORD00026,2026-06-04,CUST2725,Webcam,South,7,12500,87500,Online
ORD00027,2025-07-11,CUST2318,Monitor,West,7,28000,196000,Online
ORD00028,2025-02-18,CUST1172,Headset,South,1,12500,12500,Partner
ORD00029,2025-01-08,CUST1249,Printer,East,1,2200,2200,Partner
ORD00030,2026-04-01,CUST2434,Keyboard,West,1,900,900,Retail
ORD00031,2025-03-10,CUST0827,Keyboard,North,5,3200,16000,Retail
ORD00032,2026-02-01,CUST2231,Webcam,North,10,3200,32000,Retail
ORD00033,2025-01-26,CUST0750,Monitor,South,7,65000,455000,Retail
ORD00034,2025-10-12,CUST0494,Monitor,West,1,12500,12500,Retail
ORD00035,2025-04-14,CUST1568,Laptop,South,8,18000,144000,Online
ORD00036,2026-11-01,CUST2837,Printer,West,7,3200,22400,Online
ORD00037,2026-09-20,CUST1941,Headset,East,3,18000,54000,Partner
ORD00038,2025-03-19,CUST2819,Printer,South,9,65000,585000,Partner
ORD00039,2025-09-09,CUST0309,Keyboard,West,2,3200,6400,Retail
ORD00040,2026-02-27,CUST0090,Webcam,North,6,2200,13200,Online
ORD00041,2025-12-26,CUST1031,Headset,North,7,900,6300,Retail
ORD00042,2026-03-26,CUST0150,Tablet,South,9,4500,40500,Online
ORD00043,2026-08-30,CUST0369,Laptop,East,2,18000,36000,Retail
ORD00044,2026-03-11,CUST1690,Monitor,South,4,3200,12800,Partner
ORD00045,2026-04-13,CUST2335,Headset,West,10,28000,280000,Partner
ORD00046,2025-05-01,CUST1409,Headset,East,7,4500,31500,Retail
ORD00047,2025-12-19,CUST1989,Printer,West,2,2200,4400,Online
ORD00048,2025-11-11,CUST2458,Tablet,East,4,2200,8800,ONLINE
ORD00049,2026-10-04,CUST0741,Tablet,West,2,18000,36000,Online
ORD00050,2026-10-09,CUST1710,Keyboard,North,6,900,5400,Retail
ORD00051,2025-12-31,CUST2252,Keyboard,East,2,900,1800,Online
